SKU,Title (Enriched),Tier,Scrape Status,SEO Title,SEO Description,Body HTML (first 500 chars),Key Features,Applications,Specifications (first 5),Tags,Pack Size,Unit,Image Alt Texts,Google Category ID,Has Supplier Data?,Enrichment Cost
PQ120073,Artline 200 Bright Fineliner Pen 0.4mm Light Blue Box of 12,T2,acco_gated,Artline 200 Fineliner 0.4mm Light | Mega Office Supplies,"Artline 200 Bright Fineliner 0.4mm in Light Blue, box of 12. Instant-dry, blur-proof, xylene-free ink. Up to 2,000m write-out. Ideal for offices and schools.","<h2>Keep your notes sharp, your colour-coding clear and your ideas flowing</h2>
<p><strong>The Artline 200 Bright Fineliner delivers precise 0.4mm lines in a vivid light blue, with instant-drying, blur-proof ink that performs consistently from the first stroke to the last.</strong></p>
<p>Fineliners live and die by nib consistency and ink quality. The Artline 200 uses a fibre nib that holds its point through heavy use, paired with water-based ink that writes cleanly on even thin paper with no bl","Instant-drying water-based ink resists blur and smear - safe for left-handers | Precise 0.4mm fibre nib delivers consistent, fine lines throughout the pen's life | Up to 2,000 metres write-out distance per pen for long-lasting performance | No bleed-through on thin paper, keeping documents clean on ","Colour-coded filing and document marking systems | Detailed note-taking and margin annotation in offices and study | Technical drawing, design sketches and creative artwork | Classroom writing, student projects and teacher marking | Collaborative document editing and proofreading | Home office organ",Brand: Artline | Model: 200 Bright Fineliner | Vendor SKU: PQ120073 | Ink Colour: Light Blue | Line Width: 0.4mm,"Artline 200, Artline 200 Light Blue, Artline Fineliner Pen, 0.4mm Fineliner, Light Blue Fineliner, Fine Tip Pen, Genuine Artline Pen, Artline Writing Instruments, Office Stationery Supplies, Colour Co",Box of 12,Box,Artline 200 Bright Fineliner 0.4mm Light Blue pen front view on white background | Close-up of Artline 200 fineliner nib showing 0.4mm fibre tip detail | Artline 200 Light Blue fineliner pen writing fine lines on white paper | Box of 12 Artline 200 Bright Fineliner Light Blue pens product packaging,932,NO,$0.03 
AA6502,Bundaberg 6502 White Sugar Bag 2kg,T2,acco_gated,Bundaberg White Sugar 2kg | Mega Office Supplies,"Bundaberg White Sugar 2kg - uniform crystal size for baking, hot drinks, and jams. 68 KJ per serve. A kitchen staple for offices and catering.","<h2>Reliable, Pure White Sugar for the Office Kitchen and Catering Counter</h2>
<p><strong>Bundaberg White Sugar is a general-purpose cane sugar with a uniform crystal size, delivering consistent results whether you are sweetening a morning coffee or baking for a team morning tea.</strong></p>
<p>A staple in any well-stocked office kitchen or catering setup, this 2kg bag provides a generous supply without taking up excessive storage space. The uniform crystal structure dissolves cleanly and pred","Uniform crystal size for consistent dissolving and baking results | 2kg bag - a generous supply suitable for busy office kitchens and catering use | 68 KJ (16 Cal.) per 4g serving for easy nutritional reference | 1700 KJ (407 Cal.) per 100g energy content | Versatile across hot drinks, cold beverage","Sweetening hot beverages including tea and coffee in office kitchens | Baking cakes, biscuits, slices, and crumbles for workplace morning teas | Sweetening cold drinks and cereals in break rooms and catering settings | Preparing jams, marmalades, and preserves | General catering and hospitality use ",Brand: Bundaberg | Model/SKU: 6502 | Vendor MPN: AA6502 | Net Weight: 2kg | Serving Size: 4g (1 teaspoon),"Bundaberg 6502, Bundaberg White Sugar 2kg, White Sugar Bag, Cane Sugar, Office Kitchen Supplies, Catering Sugar, Bundaberg Sugar, Baking Sugar, Break Room Pantry Supplies, General Purpose Sugar",1,Each,Bundaberg 6502 White Sugar 2kg bag front view on white background,422,NO,$0.02 
FXPIN129 BE,Rapidline Standard Pinboard 1200 x 900mm Blue Upholstery,T2,cached,Rapidline Pinboard 1200x900mm Blue | Mega Office Supplies,"Rapidline 1200x900mm blue upholstery pinboard with galvanised steel backing. Includes pins. Concealed corner fixing for a clean, professional finish.","<h2>Keep Your Team Aligned With a Clear, Central Visual Hub</h2>
<p><strong>The Rapidline Standard Pinboard in blue upholstery gives offices, classrooms, and meeting rooms a dedicated space for notices, schedules, and project updates - all at a generous 1200 x 900mm.</strong></p>
<p>In fast-moving workplaces, critical information gets lost without a reliable, visible display point. This pinboard solves that problem with a soft blue upholstered felt surface that accepts push pins securely and rel","1200 x 900mm surface offers generous space for notices, schedules, and project updates | Blue upholstered felt surface helps important information stand out at a glance | Galvanised steel backing and low-density fibreboard core built for high-traffic environments | Concealed corner fixing delivers a","Office workspaces for team notices, project timelines, and internal communication | School staff rooms and administration areas for schedules, rosters, and announcements | Meeting rooms and conference spaces to display agendas and action items | Reception areas for visitor-facing notices and directi",Product Type: Standard pinboard | Brand: Rapidline | SKU: FXPIN129 BE | Width: 1200mm | Height: 900mm,"Rapidline FXPIN129 BE, Rapidline Pinboard Blue, Standard Pinboard, Blue Felt Pinboard, 1200x900 Pinboard, Office Notice Board, Rapidline Office Boards, Wall Mounted Pinboard, Office Communication Boar",1,Each,Rapidline Standard Pinboard 1200 x 900mm with blue upholstered felt surface and concealed corner fixing mounted on a wall | Close-up of blue felt surface on Rapidline 1200 x 900mm pinboard showing pin holes and upholstery texture,950,NO,$0.03 
PEN50-A,Pentel N50 Permanent Marker Bullet Point 1.5mm Black Box of 12,T1,cached,Pentel N50 Permanent Marker Black | Mega Office Supplies,"Pentel N50 Permanent Marker - 1.5mm bullet tip, vivid waterproof black ink, aluminium barrel. Writes on plastic, metal, glass and more. Box of 12.","<h2>Marks That Hold Up in the Toughest Conditions</h2>
<p><strong>The Pentel N50 Permanent Marker delivers vivid, waterproof black marks on virtually any surface, backed by an aluminium barrel built for industrial demands.</strong></p>
<p>From warehouse floors to workshop benches, reliable permanent marking keeps operations running smoothly. The N50 writes clearly on cardboard, plastic, metal, wood and glass, making it the go-to choice for inventory control, dispatch labelling and equipment iden","Vivid waterproof black ink resists water, smudging and ethanol-based cleaning chemicals | Bonded fibre bullet point tip maintains a consistent 1.5mm line width through heavy use | Robust aluminium barrel withstands industrial handling without cracking or deforming | Writes reliably on cardboard, pla","Industrial marking and labelling in warehouses, factories and manufacturing facilities | Maintenance and trade environments requiring permanent identification on equipment and materials | Inventory control, pallet labelling and dispatch operations where waterproof marks are essential | Quality contr","Brand: Pentel | Model: N50 | SKU: PEN50-A | Ink Colour: Black | Tip Type: Bullet point, bonded fibre","Pentel N50, Pentel N50 Black, Permanent Marker Black, Bullet Point Marker, Waterproof Permanent Marker, Industrial Marker Pen, Genuine Pentel Marker, Pentel Markers, Warehouse Labelling Supplies, 1.5m",Box of 12,Box,Pentel N50 permanent marker with black bullet point tip on white background | Close-up of Pentel N50 bullet point tip showing 1.5mm bonded fibre nib | Pentel N50 black permanent marker writing on cardboard surface | Box of 12 Pentel N50 permanent markers showing product packaging | Side view of Pent,932,NO,$0.03 
CD10210,Collins 10210 Analysis Book A24 10 Money Column Green Cover,T2,success,Collins 10210 Analysis Book 10 Column | Mega Office Supplies,"Collins 10210 A24 Analysis Book - 10 money columns, 48 pages, A4, staple bound. Ideal for manual bookkeeping in Australian offices and small businesses.","<h2>Keep Your Finances Organised with a Reliable Analysis Book</h2><p><strong>The Collins 10210 Analysis Book gives small business owners, bookkeepers, and administrators a clear, structured way to record and review financial transactions by hand.</strong></p><p>Manual bookkeeping still plays a vital role in many Australian businesses, and having the right stationery makes the process faster and less error-prone. This A4 analysis book features 10 money columns across 48 pages, giving you ample r","10 money columns for multi-category financial tracking | 48 pages providing substantial recording capacity | A4 size for standard filing and desk use | Staple bound construction for durable, flat-opening pages | Printed on white paper for clear, high-contrast entries | Distinctive green cover for ea",Manual bookkeeping and petty cash tracking in small businesses | Income and expense recording for sole traders and freelancers | Financial administration in schools and community organisations | Multi-column data entry for accounts staff and office managers,Brand: Collins Debden | Model: 10210 | Series: A24 | Number of Columns: 10 money columns | Number of Pages: 48,"Collins 10210, Collins 10210 Analysis Book, Collins Debden Analysis Books, Collins Debden Stationery, Analysis Book 10 Column, Manual Bookkeeping Book, A4 Analysis Book, Genuine Collins Debden, Office",1,Each,"Collins 10210 A24 Analysis Book with green cover showing 10 money column ruling on white pages | Front cover of Collins 10210 staple-bound A4 analysis book in green, viewed straight on",932,NO,$0.02 
KC4440,Kleenex Compact Hand Towel White 90 Sheets Pack of 24,T1,cached,Kleenex Compact Hand Towels 90 | Mega Office Supplies,"Kleenex Compact Hand Towels - 90 sheets x 24 packs. Airflex technology, 1-ply, FSC certified. Fits dispensers 70240, 70007, 4969 and 4970. Buy in bulk.","<h2>Hygienic Hand Drying for Busy Compact Washrooms</h2>
<p><strong>Kleenex Compact Hand Towels deliver premium absorbency and softness in a space-saving format built for high-traffic workplaces.</strong></p>
<p>When washroom space is limited, every product choice matters. These 1-ply white hand towels are engineered with Airflex technology, which means each sheet absorbs quickly and holds its strength under use. A case contains 24 packs of 90 towels, giving you 2,160 towels per order - ideal fo","Airflex technology delivers rapid absorbency and reliable sheet strength for thorough hand drying | One-at-a-time dispensing reduces cross-contamination and minimises unnecessary towel use | High capacity case format - 24 packs of 90 towels each, totalling 2,160 towels per order | Compatible with Kl","Corporate office washrooms requiring reliable, low-maintenance hand drying solutions | Medical clinics and healthcare facilities where hygiene and cross-contamination control are critical | Schools, universities and education facilities managing high daily washroom traffic | Hospitality venues inclu",Brand: Kleenex | SKU / MPN: KC4440 | Colour: White | Ply: 1 ply | Sheets Per Pack: 90,"Kleenex KC4440, Kleenex Compact Hand Towel White, Kleenex Dispenser 70240 Compatible, Kleenex Dispenser 70007 Compatible, Compact Hand Towels, White Paper Hand Towels, Genuine Kleenex Hand Towels, Kle",Pack of 24,Carton,Kleenex Compact Hand Towel White 90 Sheets case of 24 packs front view on white background | Close-up of Kleenex compact hand towel sheet showing 1-ply Airflex texture | Kleenex compact hand towel pack displayed next to compatible washroom dispenser,2801,NO,$0.03 
DODKTL0044,Dolphy 1L Stainless Steel Electric Kettle Black,T2,cached,Dolphy 1L Stainless Steel Kettle | Mega Office Supplies,"Dolphy 1L stainless steel kettle with auto shut-off, cool-touch exterior and 360 swivel base. 1000W, 220-240V. Perfect for offices and hospitality.","<h2>Hot Drinks Ready in Moments, Every Time</h2>
<p><strong>The Dolphy 1L Stainless Steel Electric Kettle delivers rapid, reliable boiling in a compact, safety-focused design built for daily office and hospitality use.</strong></p>
<p>Crafted from Grade-304 stainless steel and rated at 1000W on 220-240V, this kettle heats water quickly without taking over your benchtop. At just 0.82 kg and 1.0L capacity, it suits personal use, small teams, or guest rooms equally well. The 360-degree swivel base ","Automatic shut-off cuts power the instant water reaches boiling point for energy savings and safety | Cool-touch two-layer exterior stays safe to handle even during full boiling cycles | 360-degree swivel base for comfortable pouring from any angle, right or left-handed | Grade-304 stainless steel c",Small office kitchens and staff break rooms | Hotel and motel guest room amenity setups | Home office and personal workstation use | Travel and compact living spaces | Hospitality and accommodation providers stocking guest amenities,Brand: Dolphy Australia | Vendor SKU: DODKTL0044 | Product Code: DKTL0044 | Kettle Material: Grade-304 Stainless Steel | Colour: Black,"Dolphy DODKTL0044, Dolphy Kettle Black, Stainless Steel Electric Kettle, 1L Electric Kettle, Compact Office Kettle, Auto Shut-Off Kettle, Dolphy Australia Appliances, Dolphy Kitchen Appliances, Office",1,Each,Dolphy 1L black stainless steel electric kettle front view on white background | Dolphy black electric kettle side view showing 360-degree swivel base and cool-touch exterior,730,NO,$0.03 
AD13000,Avery Shipping Tag Size 3 96 x 48mm Buff Box 1000,T3,http_521,Avery Shipping Tag Size 3 96x48mm | Mega Office Supplies,"Avery Buff Shipping Tags Size 3, 96x48mm, reinforced eyelets, dual-sided writing surface, unstrung. Box of 1000. Suits shipping, warehouse and product","<p>Avery Buff Shipping Tags in Size 3 (96 x 48mm) keep mailing and identification information secure and legible across a wide range of applications. Each tag features a reinforced eyelet for extra strength, a smooth dual-sided writing surface, and a neutral buff background that makes text stand out at a glance. Supplied unstrung so you can attach them with string, wire, plastic ties, or any other preferred method.</p><p>With 1000 tags per box, this pack suits high-volume shipping, warehouse lab","Size 3 - 96 x 48mm buff shipping tags with reinforced eyelets for added durability | Smooth dual-sided writing surface with neutral buff background for clear, legible text | Supplied unstrung - attach with string, wire, plastic ties or any preferred method | Box of 1000 tags for high-volume shipping","Shipping, mailing and parcel labelling | Warehouse and industrial item identification | Product tagging, gift tags and promotional labelling",Brand: Avery | Model/MPN: AD13000 | Size: 96 x 48mm | Tag Size: 3 | Colour: Buff,"Avery, AD13000, Shipping Tags, Buff Tags, Size 3 Tags, 96x48mm, Mailing Tags, Warehouse Labels, Office Supplies, Box of 1000",1000,Box,"Avery Buff Shipping Tag Size 3 96x48mm with reinforced eyelet, front view | Box of 1000 Avery Size 3 Buff Shipping Tags showing product packaging | Close-up of Avery 96x48mm Buff Shipping Tag dual-sided writing surface",953,NO,$0.02 
SR100-10B,Staedtler Mars Lumograph 10B Pencils Box of 12,T3,unknown_prefix,Staedtler Mars Lumograph 10B Pencils | Mega Office Supplies,"Staedtler Mars Lumograph 10B pencils, box of 12. Super-bonded 2.0mm lead, break-resistant, easy to erase. PEFC-certified wood. For drawing and sketching.","<p>The Staedtler Mars Lumograph is a premium drawing pencil trusted by artists, designers and architects worldwide. The 10B grade delivers a soft, expressive mark with a metallic lustre across a wide range of grey tones, making it ideal for sketching, hatching and professional graphic work on paper and matte drawing film. The super-bonded lead and special lead formulation give it exceptional break resistance, while clean erasability and consistent line reproduction keep your work precise.</p><p>","Super-bonded lead with special formulation for exceptional break resistance | 10B grade - 2.0mm lead diameter for soft, expressive marks with metallic grey lustre | Lines reproduce cleanly and erase easily for professional results | Barrel made from PEFC-certified wood from sustainably managed fores","Professional drawing, sketching and hatching on paper and matte drawing film | Graphic design, illustration and artistic applications | Fine art studio work and architectural drafting",Brand: Staedtler | Model: Mars Lumograph 100-10B | Vendor SKU: SR100-10B | Grade: 10B | Lead diameter: 2.0mm,"Staedtler, Mars Lumograph, Drawing Pencils, Sketching Pencils, 10B Pencil, Artist Pencils, Graphite Pencils, Office Supplies",12,Box,,1672,NO,$0.02 
CU241523,Durable Business Card Box Aluminium 20 Capacity,T3,acco_gated,Durable Aluminium Business Card Box | Mega Office Supplies,"Durable slimline aluminium business card box with 20-card capacity. Silver finish, compact design. Keeps cards protected and ready to present.","<p>The Durable Business Card Box is a slimline aluminium case that holds up to 20 standard business cards. Its silver finish and compact form make it a practical choice for desk use, travel, or client meetings.</p><p>The sturdy aluminium construction keeps cards protected and organised, ensuring they stay flat and ready to present. Durable is ISO 14001 certified, reflecting a commitment to environmentally responsible manufacturing across all German production sites.</p>","Slimline aluminium construction in silver | Holds up to 20 standard business cards | Compact design suits desk, bag, or travel use | From Durable, an ISO 14001 certified manufacturer",Storing and carrying business cards at meetings or events | Desk organisation for personal or client business cards | Travel-ready card storage for professionals on the go,Colour: Silver | Material: Aluminium | Capacity: 20 cards | Type: Business Card Box | Brand: Durable,"Durable, Business Card Box, Aluminium, Card Storage, Office Supplies, Silver, Desk Accessories, CU241523",1,Each,"Durable slimline silver aluminium business card box closed, showing compact form factor | Durable aluminium business card box open, displaying 20-card storage capacity",6556,NO,$0.02 
